Metric,Decision Tree,Random Forest,XGBoost,OLS,Lasso,Ridge
Training Time (s),0.01,0.09,0.27,0.01,0.01,0.01
Train RMSE,"$36,918.34","$29,191.99","$19,401.31","$62,767.11","$62,789.79","$63,210.40"
Train MAE,"$25,956.73","$20,139.43","$14,368.99","$46,643.45","$46,677.57","$47,035.53"
Train R²,0.9253,0.9533,0.9794,0.7840,0.7838,0.7809
Test RMSE,"$68,377.53","$55,460.56","$54,390.85","$64,629.37","$64,608.56","$65,100.20"
Test MAE,"$49,986.29","$38,302.74","$37,188.19","$47,466.96","$47,399.69","$47,700.46"
Test R²,0.7885,0.8609,0.8662,0.8111,0.8112,0.8083
CV RMSE (mean),"$70,675.32","$53,712.01","$51,983.05","$63,429.50","$63,400.73","$63,686.76"
CV RMSE (std),"$4,559.01","$4,342.63","$3,507.83","$4,444.80","$4,534.60","$4,856.22"
